Budget: 60
Time: 09:00 - 20:00 (total of 660 minutes)
Genre: thrill
Food: yes
Starting coordinates: (37.423580, -122.170733)
max travel time is  30
starting add variables
ending add variables
starting add budget constraints
ending add budget constraints
starting add_different_activity_constraints
ending add_different_activity_constraints
starting add rating constaints
ending add travel time constaints
starting add food constaints
ending add food constaints
starting add review count constraints
ending add review count constraints
starting add travel time constaints
1
3
5
7
9
         496345392 function calls (483440952 primitive calls) in 326.282 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1112(Logger)
       11    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(setLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:116(_import_OrderedDict)
        1    0.000    0.000    0.000    0.000 __init__.py:12(AsymmetricSignatureContext)
        1    0.000    0.000    0.000    0.000 __init__.py:12(KeyDerivationFunction)
        2    0.000    0.000    0.000    0.000 __init__.py:1298(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1387(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1393(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EnumMeta)
       12    0.001    0.000    0.002    0.000 __init__.py:153(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
       10    0.000    0.000    0.000    0.000 __init__.py:1567(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
       51    0.000    0.000    0.000    0.000 __init__.py:169(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1705(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:173(c_long)
       14    0.000    0.000    0.000    0.000 __init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:177(c_ulong)
       39    0.000    0.000    0.000    0.000 __init__.py:178(<lambda>)
        1    0.000    0.000    0.180    0.180 __init__.py:18(<module>)
        1    0.001    0.001    0.013    0.013 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:19(CertificateError)
        1    0.000    0.000    0.000    0.000 __init__.py:194(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:195(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:198(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:202(c_longdouble)
       14    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:212(c_longlong)
       14    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:216(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:223(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char)
        1    0.001    0.001    0.002    0.002 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:240(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:252(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:257(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:27(AsymmetricVerificationContext)
        3    0.000    0.000    0.000    0.000 __init__.py:276(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:288(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:291(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:292(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:294(create_unicode_buffer)
      100    0.000    0.000    0.003    0.000 __init__.py:294(loads)
        1    0.001    0.001    0.041    0.041 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:329(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:347(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:350(_CountryNameDict)
        7    0.000    0.000    0.000    0.000 __init__.py:350(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:360(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:375(_FixedOffset)
       20    0.000    0.000    0.000    0.000 __init__.py:376(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:38(_RouteClassAttributeToGetattr)
        9    0.000    0.000    0.000    0.000 __init__.py:383(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:389(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
       76    0.000    0.000    0.000    0.000 __init__.py:392(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:398(WinDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:407(HRESULT)
      149    0.000    0.000    0.000    0.000 __init__.py:409(__setattr__)
        1    0.004    0.004    0.175    0.175 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:420(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:429(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:430(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:433(__getattr__)
        2    0.000    0.000    0.000    0.000 __init__.py:47(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:483(_get_mixins_)
        1    0.000    0.000    0.000    0.000 __init__.py:49(check_compatibility)
        1    0.000    0.000    0.000    0.000 __init__.py:49(create_string_buffer)
        3    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:494(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:495(CFunctionType)
       11    0.003    0.000    0.058    0.005 __init__.py:5(<module>)
      191    0.000    0.000    0.000    0.000 __init__.py:50(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:503(BufferingFormatter)
       12    0.000    0.000    0.000    0.000 __init__.py:530(_find_new_)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:582(Filterer)
       13    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        1    0.002    0.002    0.070    0.070 __init__.py:6(<module>)
       42    0.000    0.000    0.000    0.000 __init__.py:62(_is_descriptor)
        2    0.000    0.000    0.000    0.000 __init__.py:646(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:656(Handler)
        2    0.000    0.000    0.000    0.000 __init__.py:665(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:67(c_buffer)
       78    0.000    0.000    0.000    0.000 __init__.py:70(_is_dunder)
        3    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
        1    0.005    0.005    0.017    0.017 __init__.py:72(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:74(LazyImporter)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
       19    0.000    0.000    0.000    0.000 __init__.py:75(__init__)
       18    0.000    0.000    0.000    0.000 __init__.py:759(__hash__)
       67    0.000    0.000    0.000    0.000 __init__.py:78(_is_sunder)
      191    0.000    0.000    0.000    0.000 __init__.py:782(value)
        1    0.000    0.000    0.000    0.000 __init__.py:818(IntEnum)
        1    0.000    0.000    0.000    0.000 __init__.py:820(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:891(FileHandler)
        2    0.003    0.001    0.027    0.014 __init__.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:94(_EnumDict)
        1    0.000    0.000    0.000    0.000 __init__.py:963(PlaceHolder)
        3    0.000    0.000    0.000    0.000 __init__.py:969(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:976(append)
        2    0.003    0.001    0.013    0.006 __init__.py:99(<module>)
        1    0.000    0.000    0.000    0.000 __version__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _abcoll.py:128(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _abcoll.py:24(_hasattr)
        3    0.000    0.000    0.000    0.000 _abcoll.py:26(<genexpr>)
       12    0.000    0.000    0.000    0.000 _abcoll.py:548(update)
        1    0.000    0.000    0.000    0.000 _abcoll.py:98(__subclasshook__)
        1    0.000    0.000    0.002    0.002 _big_num_ctypes.py:20(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _collections.py:101(HTTPHeaderDict)
        1    0.000    0.000    0.000    0.000 _collections.py:27(RecentlyUsedContainer)
        1    0.000    0.000    0.000    0.000 _conditional.py:164(cryptography_has_tls_st)
        1    0.000    0.000    0.000    0.000 _conditional.py:181(cryptography_has_scrypt)
        1    0.000    0.000    0.000    0.000 _conditional.py:201(cryptography_has_mem_functions)
        1    0.000    0.000    0.000    0.000 _conditional.py:207(cryptography_has_sct)
        1    0.000    0.000    0.000    0.000 _conditional.py:220(cryptography_has_x509_store_ctx_get_issuer)
        1    0.000    0.000    0.000    0.000 _conditional.py:227(cryptography_has_x25519)
        1    0.000    0.000    0.000    0.000 _conditional.py:233(cryptography_has_evp_pkey_get_set_tls_encodedpoint)
        1    0.000    0.000    0.000    0.000 _conditional.py:5(<module>)
        5    0.000    0.000    0.000    0.000 _elliptic_curve.py:126(__cmp__)
        5    0.000    0.000    0.000    0.000 _elliptic_curve.py:170(__mul__)
        1    0.000    0.000    0.012    0.012 _elliptic_curve.py:47(<module>)
        1    0.000    0.000    0.000    0.000 _elliptic_curve.py:54(PrimeCurve)
        5    0.000    0.000    0.000    0.000 _elliptic_curve.py:60(__init__)
        5    0.000    0.000    0.000    0.000 _elliptic_curve.py:78(contains)
        1    0.000    0.000    0.000    0.000 _elliptic_curve.py:92(PrimePoint)
        6    0.000    0.000    0.000    0.000 _elliptic_curve.py:97(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _errors.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _ffi.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _ffi.py:30(LibraryNotFoundError)
        1    0.000    0.000    0.000    0.000 _ffi.py:39(FFIEngineError)
        1    0.000    0.000    0.000    0.000 _inet.py:2(<module>)
        1    0.002    0.002    0.012    0.012 _int.py:32(<module>)
        1    0.000    0.000    0.013    0.013 _internal_utils.py:9(<module>)
        1    0.001    0.001    0.003    0.003 _iri.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _ordereddict.py:23(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:172(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:452(AddressList)
        1    0.001    0.001    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:105(__calc_am_pm)
        1    0.000    0.000    0.000    0.000 _strptime.py:117(__calc_date_time)
        1    0.000    0.000    0.001    0.001 _strptime.py:12(<module>)
        1    0.000    0.000    0.000    0.000 _strptime.py:162(__calc_timezone)
        1    0.000    0.000    0.000    0.000 _strptime.py:180(TimeRE)
        1    0.000    0.000    0.001    0.001 _strptime.py:183(__init__)
        5    0.000    0.000    0.000    0.000 _strptime.py:216(<genexpr>)
        6    0.000    0.000    0.000    0.000 _strptime.py:225(__seqToRE)
       50    0.000    0.000    0.000    0.000 _strptime.py:240(<genexpr>)
        4    0.000    0.000    0.000    0.000 _strptime.py:244(pattern)
        1    0.000    0.000    0.000    0.000 _strptime.py:267(compile)
        4    0.000    0.000    0.000    0.000 _strptime.py:27(_getlang)
        2    0.000    0.000    0.000    0.000 _strptime.py:299(_strptime)
        1    0.000    0.000    0.000    0.000 _strptime.py:31(LocaleTime)
        1    0.000    0.000    0.000    0.000 _strptime.py:50(__init__)
        1    0.000    0.000    0.000    0.000 _strptime.py:90(__calc_weekday)
        1    0.000    0.000    0.000    0.000 _strptime.py:98(__calc_month)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:14(TeletexCodec)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:23(TeletexIncrementalEncoder)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:29(TeletexIncrementalDecoder)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:35(TeletexStreamWriter)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:40(TeletexStreamReader)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:64(register)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _types.py:2(<module>)
        1    0.002    0.002    0.026    0.026 _util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _util.py:57(make_assert)
        1    0.000    0.000    0.000    0.000 _util.py:62(openssl_assert)
      156    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
      156    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      156    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      374    0.001    0.000    0.001    0.000 _weakrefset.py:36(__init__)
      156    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
      643    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
      190    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      306    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
      150    0.000    0.000    0.003    0.000 abc.py:105(register)
        4    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
  167/163    0.001    0.000    0.002    0.000 abc.py:148(__subclasscheck__)
      173    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       78    0.001    0.000    0.003    0.000 abc.py:86(__new__)
      326    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 adapters.py:52(BaseAdapter)
        1    0.000    0.000    0.000    0.000 adapters.py:81(HTTPAdapter)
        1    0.000    0.000    0.002    0.002 adapters.py:9(<module>)
        1    0.000    0.000    0.000    0.000 aead.py:5(<module>)
        1    0.000    0.000    0.000    0.000 algorithms.py:101(ARC4)
        1    0.000    0.000    0.000    0.000 algorithms.py:114(IDEA)
        1    0.000    0.000    0.000    0.000 algorithms.py:128(SEED)
        1    0.000    0.000    0.000    0.000 algorithms.py:22(AES)
        1    0.000    0.000    0.000    0.000 algorithms.py:37(Camellia)
        1    0.000    0.000    0.000    0.000 algorithms.py:5(<module>)
        1    0.000    0.000    0.000    0.000 algorithms.py:52(TripleDES)
        1    0.000    0.000    0.000    0.000 algorithms.py:71(Blowfish)
        1    0.000    0.000    0.000    0.000 algorithms.py:86(CAST5)
        1    0.000    0.000    0.000    0.000 algos.py:106(HmacAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:1090(Pbes2Params)
        1    0.000    0.000    0.000    0.000 algos.py:1097(Pbmac1Params)
        1    0.000    0.000    0.000    0.000 algos.py:1104(Pkcs5MacId)
        1    0.000    0.000    0.000    0.000 algos.py:1110(Pkcs5MacAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:119(HmacAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:126(DigestAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:140(DigestAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:148(DigestInfo)
        1    0.000    0.000    0.000    0.000 algos.py:155(MaskGenAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:161(MaskGenAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:173(TrailerField)
        1    0.000    0.000    0.000    0.000 algos.py:179(RSASSAPSSParams)
        1    0.001    0.001    0.003    0.003 algos.py:18(<module>)
        1    0.000    0.000    0.000    0.000 algos.py:223(SignedDigestAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:275(SignedDigestAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:368(Pbkdf2Salt)
        1    0.000    0.000    0.000    0.000 algos.py:375(Pbkdf2Params)
        1    0.000    0.000    0.000    0.000 algos.py:384(KdfAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:390(KdfAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:401(DHParameters)
        1    0.000    0.000    0.000    0.000 algos.py:414(KeyExchangeAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:42(AlgorithmIdentifier)
        1    0.000    0.000    0.000    0.000 algos.py:420(KeyExchangeAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:431(Rc2Params)
        1    0.000    0.000    0.000    0.000 algos.py:438(Rc5ParamVersion)
        1    0.000    0.000    0.000    0.000 algos.py:444(Rc5Params)
