Budget: 100
Time: 09:00 - 17:00 (total of 480 minutes)
Genre: thrill
Food: yes
Starting coordinates: (37.423580, -122.170733)
         63420231 function calls (63395977 primitive calls) in 159.559 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:14(<module>)
       10    0.000    0.000    0.000    0.000 __init__.py:14(search_path)
        1    0.000    0.000    0.000    0.000 __init__.py:1401(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:144(EnumMeta)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.122    0.122    1.201    1.201 __init__.py:15(<module>)
        3    0.000    0.000    0.001    0.000 __init__.py:150(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:156(py_object)
        7    0.000    0.000    0.000    0.000 __init__.py:1567(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1584(NullProvider)
      178    0.000    0.000    0.054    0.000 __init__.py:1607(has_metadata)
      108    0.000    0.000    0.191    0.002 __init__.py:1611(get_metadata)
      108    0.000    0.000    0.191    0.002 __init__.py:1621(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:165(c_short)
        7    0.000    0.000    0.000    0.000 __init__.py:166(<genexpr>)
      286    0.001    0.000    0.003    0.000 __init__.py:1673(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1688(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1689(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:169(c_ushort)
        2    0.000    0.000    0.000    0.000 __init__.py:1695(_setup_prefix)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1705(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:1709(DefaultProvider)
      175    0.000    0.000    0.048    0.000 __init__.py:1712(_has)
      108    0.002    0.000    0.189    0.002 __init__.py:1724(_get)
